File_Path,Method_Name,start_line,end_line,is_Long_Method,CC,lloc,scloc,comments,calculated_length,volume,difficulty,effort,time,bugs
/home/karthikpk/project-workspace/workspace/target-repos/click/src/click/utils.py,make_default_short_help,56,103,1,12,33,28,9,66,335.7725475225224,7.74,2598.8795178243236,144.38219543468463,0.11192418250750748
/home/karthikpk/project-workspace/workspace/target-repos/flask/tests/test_views.py,get,50,51,0,1,2,2,0,0,0,0,0,0.0,0.0
/home/karthikpk/project-workspace/workspace/target-repos/click/tests/test_options.py,cmd,715,716,0,5,2,2,0,0,0,0,0,0.0,0.0
/home/karthikpk/project-workspace/workspace/target-repos/requests/requests/sessions.py,__setstate__,816,818,0,3,3,3,0,0,0,0,0,0.0,0.0
/home/karthikpk/project-workspace/workspace/target-repos/click/tests/test_formatting.py,test_formatting_usage_error_metavar_bad_arg,182,195,0,3,8,13,0,6,13.931568569324174,0.5,6.965784284662087,0.3869880158145604,0.004643856189774725
/home/karthikpk/project-workspace/workspace/target-repos/flask/tests/test_helpers.py,test_url_with_method,143,162,0,4,16,16,0,12,39.863137138648355,1.0,39.863137138648355,2.2146187299249087,0.013287712379549451
/home/karthikpk/project-workspace/workspace/target-repos/flask/tests/test_basic.py,test_static_folder_with_ending_slash,1422,1430,0,2,7,7,0,3,4.754887502163469,0.5,2.3774437510817346,0.1320802083934297,0.0015849625007211565
/home/karthikpk/project-workspace/workspace/target-repos/click/tests/test_shell_completion.py,test_argument_nargs,224,239,0,8,9,16,0,23,94.01164534875782,1.0,94.01164534875782,5.222869186042101,0.031337215116252606
/home/karthikpk/project-workspace/workspace/target-repos/click/src/click/shell_completion.py,get_completion_args,378,388,0,4,8,7,2,9,27.0,1.8,48.6,2.7,0.009
/home/karthikpk/project-workspace/workspace/target-repos/click/src/click/core.py,command,1855,1894,0,4,19,20,0,20,81.7492568250068,2.7083333333333335,221.4042372343934,12.300235401910745,0.027249752275002266
/home/karthikpk/project-workspace/workspace/target-repos/requests/tests/test_structures.py,test_getitem,73,74,0,3,2,2,0,3,4.754887502163469,0.5,2.3774437510817346,0.1320802083934297,0.0015849625007211565
/home/karthikpk/project-workspace/workspace/target-repos/flask/tests/test_blueprints.py,test_template_filter_with_name_and_template,464,478,0,2,12,11,0,5,11.60964047443681,1.0,11.60964047443681,0.6449800263576005,0.0038698801581456034
/home/karthikpk/project-workspace/workspace/target-repos/flask/src/flask/app.py,_check_setup_finished,509,519,0,4,3,11,0,0,0,0,0,0.0,0.0
/home/karthikpk/project-workspace/workspace/target-repos/requests/requests/adapters.py,close,95,97,0,2,3,2,0,0,0,0,0,0.0,0.0
